00:38:00.501006 nspr-3   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:38:00.607403 nspr-3   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:38:00.734946 nspr-3   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:38:00.813787 nspr-6   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
00:38:12.707514 nspr-8   Saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:38:12.792631 nspr-8   Finished saving settings file "/home/mystic/.config/VirtualBox/VirtualBox.xml"
00:38:13.221017 nspr-8   Saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox" with version "1.19-linux"
00:38:13.393171 nspr-8   Finished saving settings file "/home/mystic/VirtualBox VMs/archcrat xfce/archcrat xfce.vbox"
00:38:13.404859 nspr-3   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
01:01:52.499658 dns-monitor HostDnsMonitor: updating information
01:01:52.537050 dns-monitor HostDnsMonitor: old information
01:01:52.537063 dns-monitor   server 1: 49.45.0.5
01:01:52.537069 dns-monitor   no domain set
01:01:52.537073 dns-monitor   no search string entries
01:01:52.537077 dns-monitor HostDnsMonitor: new information
01:01:52.537080 dns-monitor   no server entries
01:01:52.537083 dns-monitor   no domain set
01:01:52.537086 dns-monitor   no search string entries
01:01:57.559616 dns-monitor NAT: resolv.conf: nameserver 192.168.140.57
01:01:57.559695 dns-monitor HostDnsMonitor: updating information
01:01:57.559706 dns-monitor HostDnsMonitor: old information
01:01:57.559716 dns-monitor   no server entries
01:01:57.559747 dns-monitor   no domain set
01:01:57.559756 dns-monitor   no search string entries
01:01:57.559765 dns-monitor HostDnsMonitor: new information
01:01:57.559774 dns-monitor   server 1: 192.168.140.57
01:01:57.559784 dns-monitor   no domain set
01:01:57.559793 dns-monitor   no search string entries
01:01:59.536464 dns-monitor NAT: resolv.conf: nameserver 192.168.140.57
01:01:59.536518 dns-monitor NAT: resolv.conf: nameserver 2409:4055:2dcc:a8d::ef
01:01:59.536556 dns-monitor HostDnsMonitor: updating information
01:01:59.536567 dns-monitor HostDnsMonitor: old information
01:01:59.536577 dns-monitor   server 1: 192.168.140.57
01:01:59.536588 dns-monitor   no domain set
01:01:59.536596 dns-monitor   no search string entries
01:01:59.536605 dns-monitor HostDnsMonitor: new information
01:01:59.536614 dns-monitor   server 1: 192.168.140.57
01:01:59.536623 dns-monitor   server 2: 2409:4055:2dcc:a8d::ef
01:01:59.536632 dns-monitor   no domain set
01:01:59.536640 dns-monitor   no search string entries
01:04:16.914777 nspr-7   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Paused)}, preserve=false aResultDetail=0
01:04:19.373348 nspr-8   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={300763af-5d6b-46e6-aa96-273eac15538a} aComponent={MachineWrap} aText={The machine is not mutable (state is Running)}, preserve=false aResultDetail=0
